id,text
1,"Hè này đi đâu chơi nhỉ? Mình đang phân vân giữa Đà Lạt và Phú Quốc, bạn nào đi rồi cho mình xin review với!"
2,"Mẹo nhỏ giúp bạn uống đủ nước mỗi ngày: Đặt báo thức nhắc nhở mỗi 2 tiếng. Cơ thể sẽ cảm ơn bạn đấy!"
3,"iOS 18 ra mắt với hàng loạt tính năng AI mới, đặc biệt là khả năng tùy chỉnh Siri thông minh hơn bao giờ hết!"
4,"Hôm nay con trai được 9 điểm Toán! Cảm ơn cô giáo đã kiên nhẫn dạy bé từng chút một"
5,"Đừng bỏ lỡ liveshow đặc biệt của Mỹ Tâm vào cuối tuần này tại TP.HCM! Ai đi giơ tay"
6,"Bạn có biết: Một ly cà phê đen không đường vào buổi sáng giúp tăng khả năng tập trung và đốt mỡ tốt hơn?"
7,"Kinh nghiệm xin học bổng toàn phần du học Mỹ: Chuẩn bị hồ sơ sớm, luyện viết essay thật kỹ!"
8,"Trời mưa thế này chỉ muốn ở nhà cuộn chăn xem phim Hàn Quốc. Có ai giống mình không?"
9,"Vừa thử món phở trộn ở phố Huế – thật sự đỉnh của chóp! Nên thử nếu bạn là fan phở nha"
10,"Startup Việt vừa gọi vốn thành công 2 triệu USD với ý tưởng kết nối nông dân và người tiêu dùng qua app!"
11,"Cuối tuần này bạn đã có kế hoạch gì chưa? Hãy thử phượt Đà Lạt để tận hưởng không khí mát lạnh nhé!"
12,"Tập thể dục buổi sáng giúp cải thiện tâm trạng và tăng năng suất làm việc suốt cả ngày."
